method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_full,12,PCA_full,6,0.16883396637957626,0.02140768976788886,11813.50222030891,0.20523098846875318,0.401326199626216,0.030992507934570312
PCA_full,12,PCA_full,7,0.18226807710288806,0.02140768976788886,10939.71623376991,0.21376484577584848,0.40334379727612385,0.029522180557250977
PCA_full,12,PCA_full,8,0.20886454635696722,0.020853284812303058,10204.124300038224,0.18974422801667806,0.3865602052948526,0.03633403778076172
PCA_full,13,PCA_full,2,0.2136033178445154,0.022975342826141158,17151.12789602242,0.18293789086742732,0.28813998239806937,0.013273477554321289
PCA_full,13,PCA_full,3,0.1722504172239089,0.02662461993420863,15689.308835400356,0.23513525071465932,0.39023931586788657,0.020595312118530273
PCA_full,13,PCA_full,4,0.1829484261372618,0.020508755037658987,14495.004121742588,0.2322317790855591,0.3926130792888557,0.031696319580078125
PCA_full,13,PCA_full,5,0.15647435189419848,0.021058884629066712,13570.08966803067,0.21030654754737882,0.40246888288199184,0.023790597915649414
PCA_full,13,PCA_full,6,0.17691079663199863,0.023566829942072494,12365.203225656307,0.25275903746841005,0.40170674460513117,0.029748916625976562
PCA_full,13,PCA_full,7,0.17908144271062726,0.02163801331649756,11512.623705628728,0.21582521405373487,0.3797400002524368,0.043253183364868164
PCA_full,13,PCA_full,8,0.19222044159700902,0.026786646385925542,10719.644229567692,0.1854503260830152,0.3906065255026265,0.0906524658203125
PCA_full,14,PCA_full,2,0.206505540221661,0.015015645454166086,17599.193800437366,0.19850435187090196,0.30314614342986157,0.029061079025268555
PCA_full,14,PCA_full,3,0.1686791501657081,0.026598123336157554,16134.942663334172,0.23513525071465932,0.39023931586788657,0.040709733963012695
PCA_full,14,PCA_full,4,0.15453915480984262,0.01663069103733684,14938.398868994565,0.25275903746841005,0.40170674460513117,0.0430452823638916
PCA_full,14,PCA_full,5,0.17289671138202717,0.018778714182087555,13750.773147005882,0.2322317790855591,0.3926130792888557,0.04046273231506348
