Method,n_components,k_clusters,Silhouette,Dunn_Index
PCA_randomized,12,8,0.20886454635696722,0.02085328481230307
GRP,12,2,0.245476422813071,0.00890151016581943
GRP,12,3,0.2254090017888766,0.009235557715736373
GRP,12,4,0.2233937405927761,0.009981007029711485
GRP,12,5,0.21970709157807966,0.009888539224956526
GRP,12,6,0.22806548163402646,0.01306607546528803
GRP,12,7,0.20198756634392218,0.013941903837008189
GRP,12,8,0.21378245087879516,0.01636272926850932
SRP,12,2,0.1950706829295377,0.023491386731443433
SRP,12,3,0.18000015876867226,0.02459177688734868
SRP,12,4,0.16684950628301307,0.02456978195057518
SRP,12,5,0.17828517200695707,0.012241492400361053
SRP,12,6,0.18582547036095073,0.01934263176992318
SRP,12,7,0.18717413493366875,0.02078874119410506
SRP,12,8,0.1844587868559824,0.011714296159389095
PCA_full,13,2,0.2136033178445154,0.022975342826141158
PCA_full,13,3,0.1722504172239089,0.02662461993420863
PCA_full,13,4,0.1829484261372618,0.020508755037658987
PCA_full,13,5,0.15647435189419848,0.021058884629066712
PCA_full,13,6,0.17691079663199863,0.023566829942072494
PCA_full,13,7,0.17908144271062726,0.02163801331649756
PCA_full,13,8,0.19222044159700902,0.026786646385925542
PCA_randomized,13,2,0.21360331784451553,0.0229753428261413
PCA_randomized,13,3,0.1722504172239092,0.026624619934208702
PCA_randomized,13,4,0.18294842613726212,0.02050875503765903
PCA_randomized,13,5,0.15647435189419864,0.021058884629066757
PCA_randomized,13,6,0.17691079663199896,0.023566829942072515
PCA_randomized,13,7,0.17908144271062743,0.021638013316497604
PCA_randomized,13,8,0.19222044159700907,0.026786646385925615
GRP,13,2,0.23196007408789826,0.014241590247400111
GRP,13,3,0.19998674429198812,0.013980831523354645
GRP,13,4,0.2106668763055913,0.009024733088567466
GRP,13,5,0.20949760708103765,0.012619365341041142
GRP,13,6,0.22543149024536338,0.023000353109766728
GRP,13,7,0.23101276886222263,0.023000353109766728
GRP,13,8,0.21588831673975586,0.015878452461994205
SRP,13,2,0.18095881336444672,0.020238572803362404
SRP,13,3,0.19029067552478487,0.020236501598832536
SRP,13,4,0.18764422613000376,0.012562704072088223
SRP,13,5,0.18338588182487778,0.020606543832593003
SRP,13,6,0.15493967722809918,0.026910690294171133
SRP,13,7,0.1665133556550304,0.013415029208176592
SRP,13,8,0.15991157326514954,0.01652186255244858
PCA_full,14,2,0.206505540221661,0.015015645454166086
PCA_full,14,3,0.1686791501657081,0.026598123336157554
PCA_full,14,4,0.15453915480984262,0.01663069103733684
PCA_full,14,5,0.17289671138202717,0.018778714182087555
PCA_full,14,6,0.15481845285623766,0.018900764291475157
PCA_full,14,7,0.18762552796202953,0.012088900178044372
PCA_full,14,8,0.1915980872670003,0.02501620452328213
PCA_randomized,14,2,0.2065055402216608,0.015015645454166093
PCA_randomized,14,3,0.1686791501657081,0.02659812333615752
PCA_randomized,14,4,0.15453915480984273,0.016630691037337022
PCA_randomized,14,5,0.17289671138202722,0.018778714182087555
PCA_randomized,14,6,0.1548184528562376,0.01890076429147516
PCA_randomized,14,7,0.1876255279620295,0.012088900178044223
PCA_randomized,14,8,0.1915980872670003,0.025016204523282112
GRP,14,2,0.23636938097575305,0.013535632396133309
GRP,14,3,0.19704253151312626,0.015416306629642988
GRP,14,4,0.20507418495566687,0.010480039643253681
GRP,14,5,0.212855222016997,0.012573275247918896
GRP,14,6,0.21737602938949036,0.023184438317336093
GRP,14,7,0.22369861210907918,0.024881038984201288
GRP,14,8,0.21348928238111547,0.029538064748290592
SRP,14,2,0.28676224159937924,0.028180410386203194
SRP,14,3,0.2052023797566567,0.02287078209957419
SRP,14,4,0.21355099469153535,0.024426189365419952
SRP,14,5,0.17776049958541332,0.022263385932280194
SRP,14,6,0.19005914515352051,0.02233003500570598
SRP,14,7,0.20184668289156454,0.016297490578739162
SRP,14,8,0.20804751526654552,0.02233003500570598
PCA_full,15,2,0.20179312962819915,0.015488098254380994
PCA_full,15,3,0.16320303474375825,0.025767685338861795
PCA_full,15,4,0.151856918492977,0.024863789878896796
PCA_full,15,5,0.15567537995437722,0.024863789878896796
PCA_full,15,6,0.16770418015515046,0.024863789878896796
PCA_full,15,7,0.17382019573578006,0.022813554748191422
PCA_full,15,8,0.17027158617890972,0.019025576274166876
PCA_randomized,15,2,0.20179312962819917,0.015488098254381126
PCA_randomized,15,3,0.16320303474375822,0.025767685338861604
PCA_randomized,15,4,0.15185691849297703,0.024863789878896935
PCA_randomized,15,5,0.15567537995437727,0.024863789878896935
PCA_randomized,15,6,0.1677041801551505,0.024863789878896935
PCA_randomized,15,7,0.17382019573578014,0.02281355474819155
PCA_randomized,15,8,0.17027158617890986,0.019025576274166858
GRP,15,2,0.23195546946365334,0.01349510742818508
GRP,15,3,0.19431844218597213,0.014886328306203955
GRP,15,4,0.19938139505545627,0.00894147192706002
GRP,15,5,0.2054880510693376,0.012560629732774003
GRP,15,6,0.21154463451578112,0.02062722241145818
GRP,15,7,0.22474183796274028,0.022415108175784425
GRP,15,8,0.20061584064589102,0.022338005260081787
SRP,15,2,0.35526711245617265,0.03430022868166094
SRP,15,3,0.2378831009505655,0.01182515651443668
SRP,15,4,0.24289266435642656,0.01182515651443668
SRP,15,5,0.21701529245546533,0.01194324301132053
SRP,15,6,0.20541046101325608,0.011847182833066513
SRP,15,7,0.20710243626260094,0.03519466110263008
SRP,15,8,0.19354728543063532,0.029343921069928714
